round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
97,_round97_fastdiscover_records.jsonl,hotpot_seed3_discovery,hotpot,0.1175738676,scalar_l8_train1e4,0.1123291123,-0.5244755245,,,,,,0.1175738676,,0
97,_round97_fastdiscover_records.jsonl,squad_seed2_anchor_recheck,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
98,_round98_fastdiscover_records.jsonl,arc_seed3_discovery,arc_mc,0.1063379296,scalar_l8_sched_cos,0.1012808847,-0.5057044866,,,,,,0.1063379296,,0
98,_round98_fastdiscover_records.jsonl,punc_seed1_anchor_recheck,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
99,_round99_fastdiscover_records.jsonl,mbpp_seed2_headprobe,mbpp,0.3910749284,head_l10_strong,0.4251519757,3.4077047296,0.4669261087,head_l10_strong,0.4897465047,2.2820396085,med_vs_med,0.4669261087,2.2820396085,1
99,_round99_fastdiscover_records.jsonl,protein_ss_seed4_discovery,protein_ss,0.3029752575,scalar_l8_train8e5,0.3520151875,4.9039930040,0.3029752575,scalar_l8_train8e5,0.3520151875,4.9039930040,med_vs_med,0.3029752575,4.9039930040,1
100,_round100_fastdiscover_records.jsonl,arc_seed0_headprobe,arc_mc,0.1035906768,scalar_l8_train8e5,0.1135822776,0.9991600756,0.1233192116,scalar_l8_train8e5,0.1262514422,0.2932230601,med_vs_med,0.1233192116,0.2932230601,1
100,_round100_fastdiscover_records.jsonl,hotpot_seed1_headprobe,hotpot,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
101,_round101_fastdiscover_records.jsonl,punc_seed1_anchor_recheck2,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
101,_round101_fastdiscover_records.jsonl,squad_seed2_anchor_recheck2,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
102,_round102_fastdiscover_records.jsonl,mbpp_seed0_anchor_recheck2,mbpp,0.4068606166,scalar_l8_sched_cos,0.4211895070,1.4328890423,0.4806949304,scalar_l8_sched_cos,0.4926484082,1.1953477784,med_vs_med,0.4806949304,1.1953477784,1
102,_round102_fastdiscover_records.jsonl,protein_ss_seed1_anchor_recheck,protein_ss,0.2522933547,head_l8,0.3461545156,9.3861160874,0.3222615304,head_l8,0.3461545156,2.3892985164,med_vs_med,0.3222615304,2.3892985164,1
103,_round103_fastdiscover_records.jsonl,hotpot_seed4_discovery,hotpot,0.0878495378,scalar_l8_train1e4,0.0957443457,0.7894807895,,,,,,0.0878495378,,0
103,_round103_fastdiscover_records.jsonl,protein_ss_seed5_discovery,protein_ss,0.2308077698,head_l8,0.2829857764,5.2178006590,0.2667652491,head_l8,0.2829857764,1.6220527330,med_vs_med,0.2667652491,1.6220527330,1
104,_round104_fastdiscover_records.jsonl,arc_seed4_discovery,arc_mc,0.0907293344,scalar_l8_train1e4,0.1190767831,2.8347448730,0.1034365044,scalar_l8_train1e4,0.1307075172,2.7271012827,med_vs_med,0.1034365044,2.7271012827,1
104,_round104_fastdiscover_records.jsonl,mbpp_seed4_headprobe,mbpp,0.4061133725,scalar_l8_sched_cos,0.4286145032,2.2501130710,0.4753265413,scalar_l8_sched_cos,0.4882157482,1.2889206902,med_vs_med,0.4753265413,1.2889206902,1
105,_round105_fastdiscover_records.jsonl,arc_seed5_discovery,arc_mc,0.1072128508,scalar_l8_train1e4,0.0853573178,-2.1855533002,,,,,,0.1072128508,,0
105,_round105_fastdiscover_records.jsonl,protein_ss_seed6_discovery,protein_ss,0.3137376163,scalar_l8_train1e4,0.3181674250,0.4429808738,,,,,,0.3137376163,,0
106,_round106_fastdiscover_records.jsonl,hotpot_seed5_discovery,hotpot,0.0841365841,scalar_l8_train1e4,0.0713160713,-1.2820512821,,,,,,0.0841365841,,0
106,_round106_fastdiscover_records.jsonl,mbpp_seed5_headprobe,mbpp,0.4136137494,head_l10_strong,0.4035127393,-1.0101010101,,,,,,0.4136137494,,0
107,_round107_fastdiscover_records.jsonl,arc_mc_seed0_discovery,arc_mc,0.3750000000,scalar_l8_train1e4,0.3333333333,-4.1666666667,,,,,,0.3750000000,,0
107,_round107_fastdiscover_records.jsonl,hotpot_longctx_seed0_discovery,hotpot,0.0888888889,scalar_l8_train1e4,0.0888888889,0.0000000000,,,,,,0.0888888889,,0
108,_round108_fastdiscover_records.jsonl,protein_ss_seed7_discovery,protein_ss,0.3290909139,head_l8,0.3034676347,-2.5623279194,,,,,,0.3290909139,,0
109,_round109_fastdiscover_records.jsonl,arc_seed6_discovery,arc_mc,0.0902439024,head_l8,0.0926016659,0.2357763411,,,,,,0.0902439024,,0
109,_round109_fastdiscover_records.jsonl,hotpot_seed6_discovery,hotpot,0.0709595960,scalar_l8_train1e4,0.0995558496,2.8596253596,0.0900522317,scalar_l8_train1e4,0.1259233449,3.5871113229,med_vs_med,0.0900522317,3.5871113229,1
110,_round110_fastdiscover_records.jsonl,mbpp_seed6_headprobe,mbpp,0.4260515604,scalar_l8_sched_cos,0.4253690838,-0.0682476576,,,,,,0.4260515604,,0
111,_round111_fastdiscover_records.jsonl,arc_mc_seed1_discovery,arc_mc,0.3333333333,scalar_l8_train1e4,0.3333333333,0.0000000000,,,,,,0.3333333333,,0
111,_round111_fastdiscover_records.jsonl,punc_seed2_anchor,punc,0.0916122375,scalar_l8_train8e5,0.0853617462,-0.6250491391,,,,,,0.0916122375,,0
112,_round112_fastdiscover_records.jsonl,hotpot_longctx_seed1_discovery,hotpot,0.0666666667,scalar_l8_train1e4,0.0888888889,2.2222222222,0.0666666667,scalar_l8_train1e4,0.0888888889,2.2222222222,med_vs_med,0.0666666667,2.2222222222,1
113,_round113_fastdiscover_records.jsonl,hotpot_seed7_discovery,hotpot,0.0931455931,scalar_l8_train1e4,0.0931455931,0.0000000000,,,,,,0.0931455931,,0
113,_round113_fastdiscover_records.jsonl,protein_ss_seed8_discovery,protein_ss,0.2913417916,scalar_l8_train1e4,0.2913417916,0.0000000000,,,,,,0.2913417916,,0
114,_round114_fastdiscover_records.jsonl,arc_seed7_discovery,arc_mc,0.0944739973,scalar_l8_train1e4,0.1061788618,1.1704864448,0.1546939277,scalar_l8_train1e4,0.1329520332,-2.1741894486,med_vs_med,0.1546939277,-2.1741894486,0
114,_round114_fastdiscover_records.jsonl,mbpp_seed7_headprobe,mbpp,0.4061887532,head_l10_strong,0.4234509272,1.7262173979,0.4646046323,head_l10_strong,0.4541799818,-1.0424650412,med_vs_med,0.4646046323,-1.0424650412,0
