round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
99,_round99_fastdiscover_records.jsonl,mbpp_seed2_headprobe,mbpp,0.3910749284,head_l10_strong,0.4251519757,3.4077047296,0.4669261087,head_l10_strong,0.4897465047,2.2820396085,med_vs_med,0.4669261087,2.2820396085,1
99,_round99_fastdiscover_records.jsonl,protein_ss_seed4_discovery,protein_ss,0.3029752575,scalar_l8_train8e5,0.3520151875,4.9039930040,0.3029752575,scalar_l8_train8e5,0.3520151875,4.9039930040,med_vs_med,0.3029752575,4.9039930040,1
100,_round100_fastdiscover_records.jsonl,arc_seed0_headprobe,arc_mc,0.1035906768,scalar_l8_train8e5,0.1135822776,0.9991600756,0.1233192116,scalar_l8_train8e5,0.1262514422,0.2932230601,med_vs_med,0.1233192116,0.2932230601,1
100,_round100_fastdiscover_records.jsonl,hotpot_seed1_headprobe,hotpot,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
101,_round101_fastdiscover_records.jsonl,punc_seed1_anchor_recheck2,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
101,_round101_fastdiscover_records.jsonl,squad_seed2_anchor_recheck2,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
102,_round102_fastdiscover_records.jsonl,mbpp_seed0_anchor_recheck2,mbpp,0.4068606166,scalar_l8_sched_cos,0.4211895070,1.4328890423,0.4806949304,scalar_l8_sched_cos,0.4926484082,1.1953477784,med_vs_med,0.4806949304,1.1953477784,1
102,_round102_fastdiscover_records.jsonl,protein_ss_seed1_anchor_recheck,protein_ss,0.2522933547,head_l8,0.3461545156,9.3861160874,0.3222615304,head_l8,0.3461545156,2.3892985164,med_vs_med,0.3222615304,2.3892985164,1
103,_round103_fastdiscover_records.jsonl,protein_ss_seed5_discovery,protein_ss,0.2308077698,head_l8,0.2829857764,5.2178006590,0.2667652491,head_l8,0.2829857764,1.6220527330,med_vs_med,0.2667652491,1.6220527330,1
104,_round104_fastdiscover_records.jsonl,arc_seed4_discovery,arc_mc,0.0907293344,scalar_l8_train1e4,0.1190767831,2.8347448730,0.1034365044,scalar_l8_train1e4,0.1307075172,2.7271012827,med_vs_med,0.1034365044,2.7271012827,1
