round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
157,hotpot_seed26_discovery,hotpot,7.158382158382159,scalar_l8_train8e5,4.2011892011892025,scalar_l8_train8e5,False
158,mbpp_longctx_seed5_repair,mbpp_longctx,5.033238366571699,scalar_l8_train8e5,-1.152158027158029,scalar_l8_train8e5,True
158,protein_ss_seed25_discovery,protein_ss,2.2979941966173865,scalar_l8_train8e5,6.038481292329351,scalar_l8_train8e5,False
159,mbpp_seed20_headprobe,mbpp,1.7142864824112591,head_l10_strong,2.8703389995006043,head_l10_strong,False
159,punc_seed14_anchor,other,1.0564356529044,head_l8,0.17036593898550473,head_l8,False
160,arc_mc_seed14_discovery,arc_mc,4.1666666666666625,scalar_l8_train1e4,8.333333333333337,scalar_l8_train1e4,False
160,protein_ss_seed26_discovery,protein_ss,0.18423861351973825,head_l8,,,False
161,arc_mc_seed15_discovery,arc_mc,4.166666666666669,scalar_l8_train8e5,0.0,scalar_l8_train8e5,True
161,protein_ss_seed27_discovery,protein_ss,1.9487498928570712,scalar_l8_train1e4,1.9487498928570712,scalar_l8_train1e4,False
162,hotpot_seed27_discovery,hotpot,-0.2598752598752599,scalar_l8_train8e5,,,False
162,mbpp_seed21_headprobe,mbpp,0.9182363707250563,scalar_l8_train8e5,-0.673441892228116,scalar_l8_train8e5,True
163,arc_mc_seed16_discovery,arc_mc,4.1666666666666625,scalar_l8_sched_cos,16.666666666666668,scalar_l8_sched_cos,False
163,protein_ss_seed28_discovery,protein_ss,1.3995536737706482,scalar_l8_train1e4,1.3995536737706482,scalar_l8_train1e4,False
164,mbpp_seed22_anchor,mbpp,2.146488639701305,head_l10_strong,-0.5753956699964924,head_l10_strong,True
164,punc_seed15_anchor,other,0.07121394756477162,head_l8,,,False
165,arc_mc_seed17_discovery,arc_mc,-8.333333333333332,scalar_l8_train1e4,,,False
165,hotpot_seed28_discovery,hotpot,2.6806526806526816,scalar_l8_train8e5,0.5700864034197395,scalar_l8_train8e5,False
166,mbpp_longctx_seed6_repair,mbpp_longctx,4.403004403004404,head_l8,-1.1391386391386398,head_l8,True
166,protein_ss_seed29_discovery,protein_ss,-0.36209553158705887,scalar_l8_train1e4,,,False
167,mbpp_seed23_headprobe,mbpp,3.7309655432009037,head_l10_strong,-1.3246717381598938,head_l10_strong,True
167,punc_seed16_anchor,other,1.3383128433347158,scalar_l8_train8e5,0.22141019007260454,scalar_l8_train8e5,False
168,arc_mc_seed18_discovery,arc_mc,4.166666666666669,scalar_l8_train1e4,8.333333333333332,scalar_l8_train1e4,False
168,protein_ss_seed30_discovery,protein_ss,-0.3430049482681108,scalar_l8_train1e4,,,False
