round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
446,protein_ss_seed190_discovery,protein_ss,0.32456597395345127,scalar_l8_sched_cos,0.3019794595906211,-2.2586514362830155,negative
446,mbpp_seed101_headprobe,mbpp,0.4952412841430253,scalar_l8_train1e4,0.46784017737874023,-2.740110676428509,negative
449,protein_ss_seed232_discovery,protein_ss,0.2968304843304843,scalar_l8_sched_cos,0.329197727224043,3.2367242893558688,positive
449,arc_mc_seed164_discovery,arc_mc,0.375,scalar_l8_train1e4,0.4166666666666667,4.166666666666669,positive
450,mbpp_seed126_headprobe,mbpp,0.45744076280431845,scalar_l8_sched_cos,0.46246539155845184,0.5024628754133398,positive
452,protein_ss_seed233_discovery,protein_ss,0.27842808918238676,head_l8,0.29557907976153086,1.7150990579144099,positive
453,protein_ss_seed234_discovery,protein_ss,0.2822376696458126,scalar_l8_sched_cos,0.2769912978495551,-0.5246371796257476,negative
455,squad_seed81_anchor,squad,0.17821712018140587,scalar_l8_train1e4,0.1851326977010037,0.6915577519597843,positive
455,mbpp_seed128_anchor,mbpp,0.4693925942787769,scalar_l8_train1e4,0.4660821832478379,-0.33104110309389867,negative
456,mbpp_longctx_seed86_repair,mbpp_longctx,0.20295815295815298,scalar_l8_sched_cos,0.18837952171285507,-1.4578631245297902,negative
456,protein_ss_seed235_discovery,protein_ss,0.319204100983762,scalar_l8_train1e4,0.33255347235610394,1.3349371372341934,positive
457,arc_mc_seed167_discovery,arc_mc,0.5,scalar_l8_train1e4,0.375,-12.5,negative
465,arc_mc_seed170_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.375,4.166666666666669,positive
466,protein_ss_seed239_discovery,protein_ss,0.2784327960175418,head_l8,0.3517059207848682,7.327312476732639,positive
502,mbpp_longctx_seed98_repair,mbpp_longctx,0.2568452380952381,scalar_l8_train1e4,0.21794871794871795,-3.8896520146520173,negative
503,hotpot_seed84_discovery,hotpot,0.11443001443001444,scalar_l8_train1e4,0.1432597754548974,2.8829761024882967,positive
504,protein_ss_seed252_discovery,protein_ss,0.3040549815313966,scalar_l8_sched_cos,0.3293736662611436,2.5318684729747023,positive
505,arc_mc_seed184_discovery,arc_mc,0.375,scalar_l8_train1e4,0.4166666666666667,4.166666666666669,positive
507,hotpot_seed85_discovery,hotpot,0.129985754985755,head_l8,0.125664767331434,-0.43209876543209846,negative
507,mbpp_longctx_seed99_repair,mbpp_longctx,0.1958152958152958,head_l8,0.2702380952380952,7.442279942279942,positive
509,protein_ss_seed254_discovery,protein_ss,0.30533732836364413,scalar_l8_sched_cos,0.3285460226468473,2.3208694283203157,positive
509,mbpp_seed143_anchor,mbpp,0.4902741162249986,head_l10_strong,0.49085975397787535,0.058563775287673314,positive
510,squad_seed95_anchor,squad,0.16757645195733806,head_l8,0.1811027264579177,1.3526274500579638,positive
510,mbpp_longctx_seed100_repair,mbpp_longctx,0.19783549783549784,head_l8,0.19227994227994227,-0.5555555555555564,negative
511,hotpot_seed86_discovery,hotpot,0.1109449192782526,head_l8,0.13205128205128205,2.110636277302945,positive
511,arc_mc_seed186_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.375,0.0,flat
513,arc_mc_seed187_discovery,arc_mc,0.4166666666666667,scalar_l8_train1e4,0.375,-4.166666666666669,negative
514,squad_seed96_discovery,squad,0.18838514248350313,head_l8,0.18838514248350313,0.0,flat
